RegionID, CentroidX, CentroidY, CentroidZ, Volume
00997, 423.93, 224.45, 166.63, 25001005
00008, 423.93, 224.45, 166.63, 24999794
00567, 444.98, 209.90, 136.45, 14433929
00688, 450.36, 194.77, 139.42, 11822402
00695, 449.17, 190.05, 139.26, 11368384
00315, 451.77, 149.63, 138.74, 6991141
00184, 381.63, 171.93, 60.85, 41497
00068, 383.36, 172.38, 60.70, 34455
00667, 373.38, 169.77, 61.57, 7042
00500, 395.50, 129.40, 100.51, 1205393
00107, 395.50, 129.40, 100.51, 1205393
00219, 395.50, 129.40, 100.51, 1205393
00299, 395.50, 129.40, 100.51, 1205393
00644, 395.50, 129.40, 100.51, 1205393
00947, 395.50, 129.40, 100.51, 1205393
00985, 411.52, 134.25, 104.11, 681377
00320, 428.99, 121.33, 101.05, 95070
00943, 423.47, 129.84, 99.50, 215628
00648, 406.29, 135.44, 104.40, 205310
00844, 393.44, 145.35, 110.26, 140477
00882, 385.64, 149.37, 118.54, 24892
00993, 374.47, 123.08, 95.83, 524016
00656, 378.90, 113.02, 90.29, 102032
00962, 377.58, 116.99, 92.08, 167354
00767, 371.17, 126.51, 96.95, 163527
01021, 369.40, 139.17, 105.48, 82779
01085, 369.40, 141.70, 121.22, 8324
00453, 479.94, 146.37, 131.30, 2260507
12993, 479.94, 146.37, 131.30, 2260507
12994, 479.94, 146.37, 131.30, 2260507
12995, 479.94, 146.37, 131.30, 2260507
12996, 479.94, 146.37, 131.30, 2260507
12997, 479.94, 146.37, 131.30, 2260507
12998, 479.94, 146.37, 131.30, 2260507
00322, 470.32, 134.87, 130.85, 1908846
00793, 500.25, 142.50, 116.94, 18994
00346, 493.60, 145.95, 120.45, 43052
00865, 485.59, 147.55, 124.60, 13319
00921, 471.98, 166.28, 113.83, 49143
00686, 451.83, 180.87, 111.43, 35072
00719, 449.23, 166.47, 131.65, 5522
00353, 503.37, 198.49, 107.53, 92384
00558, 531.85, 186.83, 107.62, 11008
00838, 519.97, 190.53, 107.56, 26698
00654, 508.31, 196.41, 107.88, 10517
00702, 494.43, 202.45, 107.50, 23801
00889, 475.90, 210.48, 107.33, 16725
00929, 463.65, 217.06, 107.12, 3635
00329, 503.62, 144.29, 139.99, 648418
00981, 526.77, 122.41, 139.41, 64390
00201, 516.85, 129.55, 139.43, 187540
01047, 507.78, 142.03, 139.19, 86171
01070, 496.29, 150.41, 140.20, 154949
01038, 484.02, 165.32, 140.85, 130262
01062, 474.73, 171.47, 142.72, 25106
00337, 414.35, 105.45, 129.95, 220598
01030, 423.16, 71.56, 128.85, 20708
00113, 419.75, 82.60, 129.58, 50468
01094, 417.88, 93.86, 130.61, 19158
01128, 413.37, 109.90, 129.33, 63092
00478, 407.82, 129.73, 130.96, 55043
00510, 405.28, 143.39, 130.89, 12129
00345, 477.06, 170.67, 102.63, 155038
00878, 501.74, 149.34, 102.59, 17833
00657, 493.37, 155.98, 103.00, 41194
00950, 484.90, 167.62, 102.80, 15590
00974, 471.02, 175.99, 102.39, 42820
01102, 452.15, 189.85, 102.51, 31487
00002, 443.17, 203.46, 102.24, 6114
00369, 453.63, 127.27, 121.88, 348261
00450, 468.10, 95.98, 120.16, 35685
00854, 463.46, 106.82, 122.24, 95480
00577, 457.26, 118.74, 123.69, 37065
00625, 449.18, 135.35, 121.11, 92542
00945, 440.82, 155.36, 122.20, 73106
01026, 435.16, 167.85, 122.37, 14383
00361, 439.89, 90.01, 153.21, 279045
01006, 448.38, 61.09, 153.96, 28435
00670, 447.05, 73.14, 153.56, 78280
01086, 442.56, 85.01, 153.02, 30375
01111, 436.20, 96.43, 153.42, 72877
00009, 431.71, 115.00, 152.04, 55887
00461, 427.85, 122.66, 153.61, 13191
00378, 532.53, 208.79, 133.73, 351661
00873, 559.60, 203.07, 132.79, 40833
00806, 549.43, 203.31, 133.72, 86174
01035, 537.91, 207.15, 133.33, 42041
01090, 526.92, 210.84, 134.18, 86884
00862, 509.57, 213.66, 134.37, 76358
00893, 497.71, 220.43, 132.03, 19363
00044, 351.23, 218.59, 88.00, 98739
00707, 330.04, 213.37, 91.90, 11993
00747, 342.36, 245.95, 81.18, 4291
00556, 346.71, 224.27, 86.72, 27381
00827, 352.99, 216.83, 88.05, 27890
01054, 364.33, 214.12, 87.61, 22169
01081, 362.77, 206.09, 92.84, 5015
01057, 497.72, 249.16, 103.88, 116581
00036, 523.42, 254.61, 105.35, 19524
00180, 510.89, 251.69, 103.74, 28401
00148, 504.42, 248.45, 104.29, 7848
00187, 490.67, 247.63, 102.50, 30881
00638, 475.94, 245.67, 104.67, 25359
00662, 458.52, 241.00, 102.76, 4568
00677, 538.29, 253.88, 130.97, 98906
00897, 560.43, 257.17, 131.78, 16821
01106, 550.22, 254.28, 130.68, 22346
01010, 539.43, 253.40, 129.15, 10486
01058, 532.85, 254.05, 132.13, 25043
00857, 518.03, 251.85, 130.93, 20426
00849, 503.62, 247.98, 126.63, 3784
